array_size,Ny,Nz,pattern_type,P,azi0,ele0,dist_y,dist_z,cluster_size,gain_dB,sll_dB,hpbw_ele,hpbw_azi,merit
8x8,8,8,Isotropic,0,0,0,0.3,0.3,1,8.685890356304473e-10,-3.188374375451894,21.0,21.0,-1.594187186857358
8x8,8,8,Isotropic,0,0,0,0.3,0.3,2,8.685890356304473e-10,-3.1883743754518967,21.0,21.0,-1.5941871868573594
8x8,8,8,Isotropic,0,0,0,0.3,0.3,3,8.685890356304473e-10,-1.7092507566604198,29.0,21.0,-0.8546253774616208
8x8,8,8,Isotropic,0,0,0,0.3,0.3,4,8.685890356304473e-10,-3.188374375451895,21.0,21.0,-1.5941871868573585
8x8,8,8,Isotropic,0,0,0,0.3,0.4,1,8.685890356304473e-10,-6.109692963611751,15.0,21.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.3,0.4,2,8.685890356304473e-10,-6.109692963611751,15.0,21.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.3,0.4,3,8.685890356304473e-10,-3.151851683731916,21.0,21.0,-1.575925840997369
8x8,8,8,Isotropic,0,0,0,0.3,0.4,4,8.685890356304473e-10,-6.109692963611749,15.0,21.0,-3.0548464809372855
8x8,8,8,Isotropic,0,0,0,0.3,0.5,1,8.685890356304473e-10,-10.852665524908986,13.0,21.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.3,0.5,2,8.685890356304473e-10,-10.852665524908986,13.0,21.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.3,0.5,3,8.685890356304473e-10,-5.193773955116635,17.0,21.0,-2.5968869766897282
8x8,8,8,Isotropic,0,0,0,0.3,0.5,4,8.685890356304473e-10,-10.852665524908982,13.0,21.0,-5.426332761585902
8x8,8,8,Isotropic,0,0,0,0.3,0.6000000000000001,1,8.685890356304473e-10,-12.84872053382882,11.0,21.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.3,0.6000000000000001,2,8.685890356304473e-10,-12.84872053382882,11.0,21.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.3,0.6000000000000001,3,8.685890356304473e-10,-8.085322196358598,15.0,21.0,-4.04266109731071
8x8,8,8,Isotropic,0,0,0,0.3,0.6000000000000001,4,8.685890356304473e-10,-12.848720533828818,11.0,21.0,-6.42436026604582
8x8,8,8,Isotropic,0,0,0,0.3,0.7000000000000002,1,8.685890356304473e-10,-12.80280359568323,9.0,21.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.3,0.7000000000000002,2,8.685890356304473e-10,-12.802803595683233,9.0,21.0,-6.401401796973028
8x8,8,8,Isotropic,0,0,0,0.3,0.7000000000000002,3,8.685890356304473e-10,-12.428113688919764,13.0,21.0,-6.214056843591293
8x8,8,8,Isotropic,0,0,0,0.3,0.7000000000000002,4,8.685890356304473e-10,-12.80280359568323,9.0,21.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.3,0.8000000000000003,1,8.685890356304473e-10,-12.797469202863294,7.0,21.0,-6.398734600563058
8x8,8,8,Isotropic,0,0,0,0.3,0.8000000000000003,2,8.685890356304473e-10,-12.797469202863297,7.0,21.0,-6.39873460056306
8x8,8,8,Isotropic,0,0,0,0.3,0.8000000000000003,3,8.685890356304473e-10,-12.429238471753585,11.0,21.0,-6.214619235008204
8x8,8,8,Isotropic,0,0,0,0.3,0.8000000000000003,4,8.685890356304473e-10,-12.79746920286329,7.0,21.0,-6.398734600563056
8x8,8,8,Isotropic,0,0,0,0.3,0.9000000000000001,1,8.685890356304473e-10,-12.477073312005768,7.0,21.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.3,0.9000000000000001,2,8.685890356304473e-10,-12.477073312005764,7.0,21.0,-6.238536655134293
8x8,8,8,Isotropic,0,0,0,0.3,0.9000000000000001,3,8.685890356304473e-10,-5.798545776800062,9.0,21.0,-2.899272887531442
8x8,8,8,Isotropic,0,0,0,0.3,0.9000000000000001,4,8.685890356304473e-10,-12.477073312005768,7.0,21.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.4,0.3,1,8.685890356304473e-10,-3.188374375451894,21.0,15.0,-1.594187186857358
8x8,8,8,Isotropic,0,0,0,0.4,0.3,2,8.685890356304473e-10,-3.1883743754518967,21.0,15.0,-1.5941871868573594
8x8,8,8,Isotropic,0,0,0,0.4,0.3,3,8.685890356304473e-10,-1.7092507566604198,29.0,15.0,-0.8546253774616208
8x8,8,8,Isotropic,0,0,0,0.4,0.3,4,8.685890356304473e-10,-3.188374375451895,21.0,15.0,-1.5941871868573585
8x8,8,8,Isotropic,0,0,0,0.4,0.4,1,8.685890356304473e-10,-6.109692963611751,15.0,15.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.4,0.4,2,8.685890356304473e-10,-6.109692963611751,15.0,15.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.4,0.4,3,8.685890356304473e-10,-3.151851683731916,21.0,15.0,-1.575925840997369
8x8,8,8,Isotropic,0,0,0,0.4,0.4,4,8.685890356304473e-10,-6.109692963611749,15.0,15.0,-3.0548464809372855
8x8,8,8,Isotropic,0,0,0,0.4,0.5,1,8.685890356304473e-10,-10.852665524908986,13.0,15.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.4,0.5,2,8.685890356304473e-10,-10.852665524908986,13.0,15.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.4,0.5,3,8.685890356304473e-10,-5.193773955116635,17.0,15.0,-2.5968869766897282
8x8,8,8,Isotropic,0,0,0,0.4,0.5,4,8.685890356304473e-10,-10.852665524908982,13.0,15.0,-5.426332761585902
8x8,8,8,Isotropic,0,0,0,0.4,0.6000000000000001,1,8.685890356304473e-10,-12.84872053382882,11.0,15.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.4,0.6000000000000001,2,8.685890356304473e-10,-12.84872053382882,11.0,15.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.4,0.6000000000000001,3,8.685890356304473e-10,-8.085322196358598,15.0,15.0,-4.04266109731071
8x8,8,8,Isotropic,0,0,0,0.4,0.6000000000000001,4,8.685890356304473e-10,-12.848720533828818,11.0,15.0,-6.42436026604582
8x8,8,8,Isotropic,0,0,0,0.4,0.7000000000000002,1,8.685890356304473e-10,-12.80280359568323,9.0,15.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.4,0.7000000000000002,2,8.685890356304473e-10,-12.802803595683233,9.0,15.0,-6.401401796973028
8x8,8,8,Isotropic,0,0,0,0.4,0.7000000000000002,3,8.685890356304473e-10,-12.428113688919764,13.0,15.0,-6.214056843591293
8x8,8,8,Isotropic,0,0,0,0.4,0.7000000000000002,4,8.685890356304473e-10,-12.80280359568323,9.0,15.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.4,0.8000000000000003,1,8.685890356304473e-10,-12.797469202863294,7.0,15.0,-6.398734600563058
8x8,8,8,Isotropic,0,0,0,0.4,0.8000000000000003,2,8.685890356304473e-10,-12.797469202863297,7.0,15.0,-6.39873460056306
8x8,8,8,Isotropic,0,0,0,0.4,0.8000000000000003,3,8.685890356304473e-10,-12.429238471753585,11.0,15.0,-6.214619235008204
8x8,8,8,Isotropic,0,0,0,0.4,0.8000000000000003,4,8.685890356304473e-10,-12.79746920286329,7.0,15.0,-6.398734600563056
8x8,8,8,Isotropic,0,0,0,0.4,0.9000000000000001,1,8.685890356304473e-10,-12.477073312005768,7.0,15.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.4,0.9000000000000001,2,8.685890356304473e-10,-12.477073312005764,7.0,15.0,-6.238536655134293
8x8,8,8,Isotropic,0,0,0,0.4,0.9000000000000001,3,8.685890356304473e-10,-5.798545776800062,9.0,15.0,-2.899272887531442
8x8,8,8,Isotropic,0,0,0,0.4,0.9000000000000001,4,8.685890356304473e-10,-12.477073312005768,7.0,15.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.5,0.3,1,8.685890356304473e-10,-3.188374375451894,21.0,13.0,-1.594187186857358
8x8,8,8,Isotropic,0,0,0,0.5,0.3,2,8.685890356304473e-10,-3.1883743754518967,21.0,13.0,-1.5941871868573594
8x8,8,8,Isotropic,0,0,0,0.5,0.3,3,8.685890356304473e-10,-1.7092507566604198,29.0,13.0,-0.8546253774616208
8x8,8,8,Isotropic,0,0,0,0.5,0.3,4,8.685890356304473e-10,-3.188374375451895,21.0,13.0,-1.5941871868573585
8x8,8,8,Isotropic,0,0,0,0.5,0.4,1,8.685890356304473e-10,-6.109692963611751,15.0,13.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.5,0.4,2,8.685890356304473e-10,-6.109692963611751,15.0,13.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.5,0.4,3,8.685890356304473e-10,-3.151851683731916,21.0,13.0,-1.575925840997369
8x8,8,8,Isotropic,0,0,0,0.5,0.4,4,8.685890356304473e-10,-6.109692963611749,15.0,13.0,-3.0548464809372855
8x8,8,8,Isotropic,0,0,0,0.5,0.5,1,8.685890356304473e-10,-10.852665524908986,13.0,13.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.5,0.5,2,8.685890356304473e-10,-10.852665524908986,13.0,13.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.5,0.5,3,8.685890356304473e-10,-5.193773955116635,17.0,13.0,-2.5968869766897282
8x8,8,8,Isotropic,0,0,0,0.5,0.5,4,8.685890356304473e-10,-10.852665524908982,13.0,13.0,-5.426332761585902
8x8,8,8,Isotropic,0,0,0,0.5,0.6000000000000001,1,8.685890356304473e-10,-12.84872053382882,11.0,13.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.5,0.6000000000000001,2,8.685890356304473e-10,-12.84872053382882,11.0,13.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.5,0.6000000000000001,3,8.685890356304473e-10,-8.085322196358598,15.0,13.0,-4.04266109731071
8x8,8,8,Isotropic,0,0,0,0.5,0.6000000000000001,4,8.685890356304473e-10,-12.848720533828818,11.0,13.0,-6.42436026604582
8x8,8,8,Isotropic,0,0,0,0.5,0.7000000000000002,1,8.685890356304473e-10,-12.80280359568323,9.0,13.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.5,0.7000000000000002,2,8.685890356304473e-10,-12.802803595683233,9.0,13.0,-6.401401796973028
8x8,8,8,Isotropic,0,0,0,0.5,0.7000000000000002,3,8.685890356304473e-10,-12.428113688919764,13.0,13.0,-6.214056843591293
8x8,8,8,Isotropic,0,0,0,0.5,0.7000000000000002,4,8.685890356304473e-10,-12.80280359568323,9.0,13.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.5,0.8000000000000003,1,8.685890356304473e-10,-12.797469202863294,7.0,13.0,-6.398734600563058
8x8,8,8,Isotropic,0,0,0,0.5,0.8000000000000003,2,8.685890356304473e-10,-12.797469202863297,7.0,13.0,-6.39873460056306
8x8,8,8,Isotropic,0,0,0,0.5,0.8000000000000003,3,8.685890356304473e-10,-12.429238471753585,11.0,13.0,-6.214619235008204
8x8,8,8,Isotropic,0,0,0,0.5,0.8000000000000003,4,8.685890356304473e-10,-12.79746920286329,7.0,13.0,-6.398734600563056
8x8,8,8,Isotropic,0,0,0,0.5,0.9000000000000001,1,8.685890356304473e-10,-12.477073312005768,7.0,13.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.5,0.9000000000000001,2,8.685890356304473e-10,-12.477073312005764,7.0,13.0,-6.238536655134293
8x8,8,8,Isotropic,0,0,0,0.5,0.9000000000000001,3,8.685890356304473e-10,-5.798545776800062,9.0,13.0,-2.899272887531442
8x8,8,8,Isotropic,0,0,0,0.5,0.9000000000000001,4,8.685890356304473e-10,-12.477073312005768,7.0,13.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.3,1,8.685890356304473e-10,-3.188374375451894,21.0,11.0,-1.594187186857358
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.3,2,8.685890356304473e-10,-3.1883743754518967,21.0,11.0,-1.5941871868573594
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.3,3,8.685890356304473e-10,-1.7092507566604198,29.0,11.0,-0.8546253774616208
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.3,4,8.685890356304473e-10,-3.188374375451895,21.0,11.0,-1.5941871868573585
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.4,1,8.685890356304473e-10,-6.109692963611751,15.0,11.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.4,2,8.685890356304473e-10,-6.109692963611751,15.0,11.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.4,3,8.685890356304473e-10,-3.151851683731916,21.0,11.0,-1.575925840997369
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.4,4,8.685890356304473e-10,-6.109692963611749,15.0,11.0,-3.0548464809372855
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.5,1,8.685890356304473e-10,-10.852665524908986,13.0,11.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.5,2,8.685890356304473e-10,-10.852665524908986,13.0,11.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.5,3,8.685890356304473e-10,-5.193773955116635,17.0,11.0,-2.5968869766897282
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.5,4,8.685890356304473e-10,-10.852665524908982,13.0,11.0,-5.426332761585902
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.6000000000000001,1,8.685890356304473e-10,-12.84872053382882,11.0,11.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.6000000000000001,2,8.685890356304473e-10,-12.84872053382882,11.0,11.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.6000000000000001,3,8.685890356304473e-10,-8.085322196358598,15.0,11.0,-4.04266109731071
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.6000000000000001,4,8.685890356304473e-10,-12.848720533828818,11.0,11.0,-6.42436026604582
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.7000000000000002,1,8.685890356304473e-10,-12.80280359568323,9.0,11.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.7000000000000002,2,8.685890356304473e-10,-12.802803595683233,9.0,11.0,-6.401401796973028
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.7000000000000002,3,8.685890356304473e-10,-12.428113688919764,13.0,11.0,-6.214056843591293
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.7000000000000002,4,8.685890356304473e-10,-12.80280359568323,9.0,11.0,-6.401401796973026
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.8000000000000003,1,8.685890356304473e-10,-12.797469202863294,7.0,11.0,-6.398734600563058
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.8000000000000003,2,8.685890356304473e-10,-12.797469202863297,7.0,11.0,-6.39873460056306
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.8000000000000003,3,8.685890356304473e-10,-12.429238471753585,11.0,11.0,-6.214619235008204
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.8000000000000003,4,8.685890356304473e-10,-12.79746920286329,7.0,11.0,-6.398734600563056
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.9000000000000001,1,8.685890356304473e-10,-12.477073312005768,7.0,11.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.9000000000000001,2,8.685890356304473e-10,-12.477073312005764,7.0,11.0,-6.238536655134293
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.9000000000000001,3,8.685890356304473e-10,-5.798545776800062,9.0,11.0,-2.899272887531442
8x8,8,8,Isotropic,0,0,0,0.6000000000000001,0.9000000000000001,4,8.685890356304473e-10,-12.477073312005768,7.0,11.0,-6.238536655134295
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.3,1,8.685890356304473e-10,-3.188374375451894,21.0,9.0,-1.594187186857358
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.3,2,8.685890356304473e-10,-3.1883743754518967,21.0,9.0,-1.5941871868573594
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.3,3,8.685890356304473e-10,-1.7092507566604198,29.0,9.0,-0.8546253774616208
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.3,4,8.685890356304473e-10,-3.188374375451895,21.0,9.0,-1.5941871868573585
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.4,1,8.685890356304473e-10,-6.109692963611751,15.0,9.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.4,2,8.685890356304473e-10,-6.109692963611751,15.0,9.0,-3.0548464809372864
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.4,3,8.685890356304473e-10,-3.151851683731916,21.0,9.0,-1.575925840997369
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.4,4,8.685890356304473e-10,-6.109692963611749,15.0,9.0,-3.0548464809372855
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.5,1,8.685890356304473e-10,-10.852665524908986,13.0,9.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.5,2,8.685890356304473e-10,-10.852665524908986,13.0,9.0,-5.426332761585904
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.5,3,8.685890356304473e-10,-5.193773955116635,17.0,9.0,-2.5968869766897282
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.5,4,8.685890356304473e-10,-10.852665524908982,13.0,9.0,-5.426332761585902
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.6000000000000001,1,8.685890356304473e-10,-12.84872053382882,11.0,9.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.6000000000000001,2,8.685890356304473e-10,-12.84872053382882,11.0,9.0,-6.424360266045821
8x8,8,8,Isotropic,0,0,0,0.7000000000000002,0.6000000000000001,3,8.685890356304473e-10,-8.085322196358598,15.0,9.0,-4.04266109731071
